[2026-05-14 21:32:28] EXITO | IP: ::1 | Email: ana@email.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-15 21:54:53] EXITO | IP: ::1 | Email: miguel@gmail.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-15 21:56:50] EXITO | IP: ::1 | Email: miguel@gmail.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-20 15:07:31] FALLO | IP: ::1 | Email: admin@pawspa.com | CAPTCHA_OK | Error: Rol incorrecto. El usuario es admin | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-20 15:07:46] FALLO | IP: ::1 | Email: admin@pawspa.com | CAPTCHA_OK | Error: Rol incorrecto. El usuario es admin | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-20 15:08:20] EXITO | IP: ::1 | Email: admin@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-20 15:08:59] EXITO | IP: ::1 | Email: admin@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-20 16:58:44] EXITO | IP: ::1 | Email: zequel65cap@gmail.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-20 16:59:22] EXITO | IP: ::1 | Email: admin@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-20 17:03:24] EXITO | IP: ::1 | Email: zequel65cap@gmail.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-20 17:03:38] EXITO | IP: ::1 | Email: admin@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-20 17:26:43] EXITO | IP: ::1 | Email: mau75cap.mc@gmail.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-20 19:44:47] FALLO | IP: ::1 | Email: mau75cap.mc@gmail.com | CAPTCHA_OK | Error: Rol incorrecto. El usuario es client | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-20 19:44:56] FALLO | IP: ::1 | Email: mau75cap.mc@gmail.com | CAPTCHA_OK | Error: Cuenta no verificada | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-20 19:46:02] EXITO | IP: ::1 | Email: mau75cap.mc@gmail.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-20 19:50:44] EXITO | IP: ::1 | Email: mau75cap.mc@gmail.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-20 19:58:25] FALLO | IP: ::1 | Email: mau75cap.mc@gmail.com | CAPTCHA_OK | Error: Cuenta no verificada | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-20 19:58:57] FALLO | IP: ::1 | Email: mau75cap.mc@gmail.com | CAPTCHA_OK | Error: Rol incorrecto. El usuario es client | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-20 19:59:18] FALLO | IP: ::1 | Email: mau75cap.mc@gmail.com | CAPTCHA_OK | Error: Rol incorrecto. El usuario es client | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-20 20:00:23] FALLO | IP: ::1 | Email: admin@pawspa.com | CAPTCHA_OK | Error: Cuenta no verificada | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-20 20:02:59] EXITO | IP: ::1 | Email: admin@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-20 20:03:34] EXITO | IP: ::1 | Email: recep@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-20 20:03:59] EXITO | IP: ::1 | Email: maria@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-20 20:04:30] EXITO | IP: ::1 | Email: admin@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-20 20:05:04] EXITO | IP: ::1 | Email: admin@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-20 20:05:47] EXITO | IP: ::1 | Email: recep@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-20 20:06:08] EXITO | IP: ::1 | Email: maria@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-20 20:07:22] EXITO | IP: ::1 | Email: mau75cap.mc@gmail.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-20 20:07:56] FALLO | IP: ::1 | Email: mau75cap.mc@gmail.com | CAPTCHA_OK | Error: Rol incorrecto. El usuario es client | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-20 20:08:11] FALLO | IP: ::1 | Email: mau75cap.mc@gmail.com | CAPTCHA_OK | Error: Rol incorrecto. El usuario es client | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-20 20:08:23] FALLO | IP: ::1 | Email: mau75cap.mc@gmail.com | CAPTCHA_OK | Error: Rol incorrecto. El usuario es client | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-22 16:03:04] EXITO | IP: ::1 | Email: admin@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-22 16:05:20] EXITO | IP: ::1 | Email: mau75cap.mc@gmail.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-22 16:06:50] EXITO | IP: ::1 | Email: admin@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-22 18:05:12] EXITO | IP: ::1 | Email: admin@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-22 19:02:05] EXITO | IP: ::1 | Email: admin@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-22 21:32:24] FALLO | IP: ::1 | Email: admin@pawspa.com | CAPTCHA_OK | Error: Cuenta no verificada | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-22 21:33:36] EXITO | IP: ::1 | Email: admin@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-23 03:18:28] EXITO | IP: ::1 | Email: admin@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-27 21:08:18] EXITO | IP: ::1 | Email: admin@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36
[2026-05-27 22:42:44] EXITO | IP: ::1 | Email: admin@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36
[2026-05-27 23:26:47] EXITO | IP: ::1 | Email: admin@pawspa.com | CAPTCHA_OK | UA: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36
[2026-05-27 23:54:39] FALLO | IP: ::1 | Email: mau75cap.mc@gmail.com | CAPTCHA_OK | Error: Rol incorrecto. El usuario es client | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
[2026-05-27 23:54:50] EXITO | IP: ::1 | Email: mau75cap.mc@gmail.com | CAPTCHA_OK | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36
